customer_id,customer_name,email,registration_date,customer_type
ab1f19d4-809d-4d32-89af-09308bf55429,Customer 0,customer0@example.com,2026-02-01,PREMIUM
14771880-6a60-403f-b5bc-e910f4d1a25a,Customer 1,customer1@example.com,2024-08-05,VIP
20364cbc-d319-41bb-a95b-1bfd792d1711,Customer 2,customer2@example.com,2025-01-22,VIP
31c5d614-491f-4611-b105-12022c7ae8df,Customer 3,customer3@example.com,2024-12-11,REGULAR
0ce4f220-e664-4e32-831c-91917bc93a93,Customer 4,customer4@example.com,2026-01-28,PREMIUM
2ecb3d42-4cd6-4985-956a-9358aedba620,Customer 5,customer5@example.com,2025-06-12,PREMIUM
5d912c6e-aa22-4ab4-8015-817e2a8b6586,Customer 6,customer6@example.com,2026-01-31,VIP
77ae4357-bc47-4540-8e9e-ded0897044e3,Customer 7,customer7@example.com,2024-07-25,REGULAR
cc820fbc-47b7-4242-bd0a-016020f5ceab,Customer 8,customer8@example.com,2025-03-18,VIP
eb4ce51c-3cdf-4287-917c-be3148bd9210,Customer 9,customer9@example.com,2025-10-26,PREMIUM
4dfbeba8-0c0a-4dca-8634-44f8ccbb1f11,Customer 10,customer10@example.com,2025-02-16,PREMIUM
39b75f2d-c063-42ad-bc2b-2c95af9423d8,Customer 11,customer11@example.com,2026-01-20,VIP
a86a366b-fca3-45b9-804a-6861b909c24a,Customer 12,customer12@example.com,2024-06-15,VIP
be4d7b8c-b667-4767-9e5d-532b32eb2d1c,Customer 13,customer13@example.com,2025-07-21,PREMIUM
9d40bde5-95a4-4f30-93ef-ad4e3e79df48,Customer 14,customer14@example.com,2024-02-07,PREMIUM
c29b9f8b-de56-44d1-bb8c-3d9ea5189a62,Customer 15,customer15@example.com,2024-04-06,PREMIUM
4187a7c0-89f1-4627-8fcd-32b8a5a614c8,Customer 16,customer16@example.com,2024-12-16,PREMIUM
9c0b5caa-6c09-4c74-85fd-44ed3b530039,Customer 17,customer17@example.com,2025-06-06,VIP
a6b357c6-5bd7-4cb8-8dfa-a07420d40108,Customer 18,customer18@example.com,2026-02-14,REGULAR
a5ec7cf2-191b-4254-9ca8-3a94318b2ac9,Customer 19,customer19@example.com,2025-04-30,REGULAR
0cd39b47-4239-480b-a6f9-87c511e8d2e4,Customer 20,customer20@example.com,2025-11-25,REGULAR
